Run,D50/a,L/a,dt/a,F,Fd,ds/a
18C1,0.178,33.33333333,10.66666667,2.320116931,4.281124918,2
18C2,0.178,33.33333333,12,2.320116931,4.281124918,2.133333333
18C3,0.178,33.33333333,13.33333333,2.320116931,4.281124918,2.2
10D,0.358,100,20,12.05568121,15.68585767,11.4
10D1,0.358,100,22,12.05568121,15.68585767,11
11D,0.358,100,25,12.05568121,15.68585767,10.8
11D1,0.358,100,28,12.05568121,15.68585767,11.2
12D,0.358,100,30,12.05568121,15.68585767,11.4
12D1,0.358,100,32,12.05568121,15.68585767,11.6
12D2,0.358,100,36,12.05568121,15.68585767,12.2
12D3,0.358,100,40,12.05568121,15.68585767,12.6
13D,0.179,50,10,4.246363198,7.813554571,4.4
13D1,0.179,50,11,4.246363198,7.813554571,4.2
14D,0.179,50,12.5,4.246363198,7.813554571,4
14D1,0.179,50,14,4.246363198,7.813554571,4.3
15D,0.179,50,15,4.246363198,7.813554571,5
15D1,0.179,50,16,4.246363198,7.813554571,5.5
15D2,0.179,50,18,4.246363198,7.813554571,5.8
15D3,0.179,50,20,4.246363198,7.813554571,6
16D,0.119333333,33.33333333,6.666666667,2.320116931,5.228619224,2.333333333
16D1,0.119333333,33.33333333,7.333333333,2.320116931,5.228619224,2.2
17D,0.119333333,33.33333333,8.333333333,2.320116931,5.228619224,2.133333333
17D1,0.119333333,33.33333333,9.333333333,2.320116931,5.228619224,2.2
18D,0.119333333,33.33333333,10,2.320116931,5.228619224,2.266666667
18D1,0.119333333,33.33333333,10.66666667,2.320116931,5.228619224,2.333333333
18D2,0.119333333,33.33333333,12,2.320116931,5.228619224,3.2
18D3,0.119333333,33.33333333,13.33333333,2.320116931,5.228619224,3.466666667
19D,0.358,80,20,12.05568121,15.68585767,11.2
20D,0.358,80,25,12.05568121,15.68585767,11
21D,0.358,80,30,12.05568121,15.68585767,11.8
22D,0.179,40,10,4.246363198,7.813554571,4.8
23D,0.179,40,12.5,4.246363198,7.813554571,4.7
24D,0.179,40,15,4.246363198,7.813554571,4.9
25D,0.119333333,26.66666667,6.666666667,2.320116931,5.228619224,2.8
26D,0.119333333,26.66666667,8.333333333,2.320116931,5.228619224,2.8
27D,0.119333333,26.66666667,10,2.320116931,5.228619224,2.866666667
28D,0.358,60,20,12.05568121,15.68585767,11.8
29D,0.358,60,25,12.05568121,15.68585767,11.4
30D,0.358,60,30,12.05568121,15.68585767,12.2
31D,0.179,30,10,4.246363198,7.813554571,5.2
32D,0.179,30,12.5,4.246363198,7.813554571,5
33D,0.179,30,15,4.246363198,7.813554571,5.5
34D,0.119333333,20,6.666666667,2.320116931,5.228619224,3.2
35D,0.119333333,20,8.333333333,2.320116931,5.228619224,3.066666667
36D,0.119333333,20,10,2.320116931,5.228619224,3.266666667
a10C,0.534,100,20,12.05568121,12.84337475,6.8
a11C,0.534,100,25,12.05568121,12.84337475,5.6
a12C,0.534,100,30,12.05568121,12.84337475,7.2
a13C,0.267,50,10,4.246363198,6.397636113,2.8
a14C,0.267,50,12.5,4.246363198,6.397636113,2.3
a15C,0.267,50,15,4.246363198,6.397636113,3.1
a16C,0.178,33.33333333,6.666666667,2.320116931,4.281124918,1
a17C,0.178,33.33333333,8.333333333,2.320116931,4.281124918,0.733333333
a18C,0.178,33.33333333,10,2.320116931,4.281124918,1.2
b10C,0.534,100,20,12.05568121,12.84337475,4.2
b11C,0.534,100,25,12.05568121,12.84337475,3.8
b12C,0.534,100,30,12.05568121,12.84337475,4.8
b13C,0.267,50,10,4.246363198,6.397636113,1.6
b14C,0.267,50,12.5,4.246363198,6.397636113,1.5
b15C,0.267,50,15,4.246363198,6.397636113,1.8
b16C,0.178,33.33333333,6.666666667,2.320116931,4.281124918,0.933333333
b17C,0.178,33.33333333,8.333333333,2.320116931,4.281124918,0.866666667
b18C,0.178,33.33333333,10,2.320116931,4.281124918,1
c10C,0.534,100,20,12.05568121,12.84337475,3.2
c11C,0.534,100,25,12.05568121,12.84337475,2.6
c12C,0.534,100,30,12.05568121,12.84337475,3.2
c13C,0.267,50,10,4.246363198,6.397636113,1.1
c14C,0.267,50,12.5,4.246363198,6.397636113,0.9
c15C,0.267,50,15,4.246363198,6.397636113,1.3
c16C,0.178,33.33333333,6.666666667,2.320116931,4.281124918,0.466666667
c17C,0.178,33.33333333,8.333333333,2.320116931,4.281124918,0.333333333
c18C,0.178,33.33333333,10,2.320116931,4.281124918,0.533333333
